v_(t),v_(t-1),P(t),I(t)
50.2,47.1,1,1
35.7,33.4,-1,-1
19.1,18.9,-1,0
30.3,27.2,-1,-1
30.2,24.7,-1,0
36.7,36.4,-1,-1
36.5,39.4,-1,-1
32.8,33.7,-1,-1
39.9,38.4,-1,-1
36.6,38.6,-1,-1
24.2,27.5,-1,0
29.6,28,-1,-1
26.6,27.8,-1,-1
31.2,24.6,-1,-1
33,34.4,-1,-1
32.7,30.39,-1,-1
33.6,35.1,-1,-1
28.3,28,-1,-1
29.3,40.2,-1,-1
29.1,31.8,-1,-1
39.2,36.5,-1,-1
35.3,38.9,-1,-1
51.7,47.2,1,1
36.7,37.4,-1,-1
38.6,39.4,-1,-1
36.6,37.5,-1,-1
26.9,32.3,-1,-1
36.2,35.1,-1,-1
30.1,27.2,-1,-1
34.8,29,-1,-1
37.3,37.4,-1,-1
48.2,47.5,1,1
46.4,43,1,1
33.1,34.2,-1,-1
36.3,33.4,-1,-1
37.5,29.2,-1,-1
37.2,33.4,-1,-1
18.8,19.3,-1,-1
25.9,26.33,-1,-1
29.5,29,-1,-1
32.2,31.8,-1,-1
30.4,27,-1,-1
38.5,38.6,-1,-1
23.3,27.2,-1,-1
30.3,28.3,-1,-1
40.6,40.3,-1,-1
19.6,21.3,-1,-1
35,34.3,-1,-1
30.2,30.1,-1,-1
28.6,24.6,-1,-1
37.2,32.8,-1,-1
34.5,31.4,-1,-1
31.1,29.4,-1,-1
29.3,37.2,-1,-1
30.8,30.24,-1,-1
29.1,29.1,-1,-1
32.1,31.2,-1,-1
38.6,41.1,-1,-1
40.7,36.4,-1,-1
34.9,36.6,-1,-1
25.8,20.2,-1,-1
27.4,28.6,-1,-1
24.2,26.9,-1,-1
38.8,35.6,-1,-1
38.3,39.5,-1,-1
37.7,35.7,-1,0
38.8,38.84,-1,-1
23.1,22.1,-1,-1
39.1,35.6,-1,-1
34.2,32.9,-1,-1
33.8,32.1,-1,-1
18.6,17.7,-1,-1
34.8,32.1,-1,-1
32.2,35.43,-1,-1
36.4,39.2,-1,-1
36.6,29.2,-1,-1
24.1,27.2,-1,-1
21,17.8,-1,-1
34.3,37,-1,-1
47.8,44.3,1,1
37.3,35.5,-1,-1
38.3,36.4,-1,-1
33.2,31.9,-1,-1
40.5,40.8,-1,-1
25.7,30.1,-1,-1
30.5,31.1,-1,-1
39,36.7,-1,-1
43.5,43,-1,-1
28.4,29.9,-1,-1
31.3,33.9,-1,-1
24.5,24.01,-1,-1
25.2,23.7,-1,-1
18.2,15.6,-1,0
31.2,31,-1,-1
35.3,37.7,-1,-1
31.2,34.3,-1,-1
29.4,31.4,-1,-1
27.2,21.2,-1,-1
47.7,42,1,1
34,34.9,-1,-1
24.1,29.7,-1,-1
37.3,36.7,-1,-1
46.5,39.4,1,-1
27.6,21.5,-1,0
26.5,25.2,-1,-1
33.7,33.8,-1,-1
32.4,31.2,-1,-1
33.9,31,-1,-1
30.4,33.4,-1,-1
41.1,41.1,-1,-1
34.6,32.5,-1,-1
23.8,20.3,-1,-1
27.2,27.7,-1,-1
34.7,30.9,-1,-1
45.4,42.1,1,0
33.9,30.3,-1,-1
38,35.2,-1,-1
36.7,37.6,-1,-1
35.6,36.3,-1,-1
38.4,38.9,-1,-1
32,38.9,-1,-1
38.9,36.1,-1,-1
53.6,48.7,1,1
36.3,32.3,-1,-1
39.6,36.2,-1,-1
28.9,26.3,-1,-1
20.9,17.8,-1,-1
33.8,28.8,-1,-1
40.9,37.8,-1,-1
26.2,29.2,-1,-1
35.6,31.3,-1,-1
41.6,36.1,-1,1
38.1,37.6,-1,-1
50.5,50,1,1
34.4,35.77,-1,-1
27.4,28.4,-1,-1
25.5,28.1,-1,-1
36.6,39.2,-1,-1
35.3,32.6,-1,-1
27.8,24.5,-1,0
31.7,32.8,-1,-1
25.9,22.3,-1,-1
22.1,18.8,-1,-1
32.4,33.7,-1,-1
18.8,20.2,-1,-1
24.6,22.4,-1,-1
37.6,35.8,-1,-1
27.1,30.5,-1,-1
37.4,37.9,-1,-1
50.4,52.2,1,0
37.6,36.7,-1,-1
27.4,27.4,-1,0
38.4,40.2,-1,-1
29.8,26.8,-1,-1
26.4,27.1,-1,-1
33.5,33.3,-1,-1
30.6,28.5,-1,-1
28,23.9,-1,-1
29.1,27.6,-1,-1
30.5,31.7,-1,-1
22.8,24.1,-1,-1
22.8,24,-1,-1
33,32.5,-1,-1
37.6,38.9,-1,-1
32.6,34.5,-1,-1
27.9,28.6,-1,-1
40.4,36.5,-1,-1
26,22.4,-1,0
32,29.1,-1,-1
20.8,16.9,-1,0
34.8,36.4,-1,-1
37.2,39,-1,-1
28.6,27.9,-1,-1
21.8,20.2,-1,-1
39.7,39.9,-1,0
35.5,35.7,-1,-1
29.6,24.4,-1,0
24,25.1,-1,-1
