v_(t),v_(t-1),P(t),I(t)
59.3,47.4,1,1
38.6,34.4,1,-1
24.7,19.6,-1,-1
36.3,31,-1,0
33.9,29.8,-1,-1
33,31.1,-1,-1
47.3,40,1,-1
38.9,33.7,1,-1
50.5,46.3,1,1
37.6,37.51,-1,-1
32.6,22.8,-1,0
33.6,28.9,-1,-1
31.1,24.9,-1,0
26.1,22.9,-1,-1
35.8,29.9,-1,-1
36.5,34.6,-1,-1
38.3,37.4,-1,0
29.1,24,-1,-1
31.5,33,-1,-1
37.2,30.2,1,-1
44.9,38.4,1,-1
38,33,1,0
43.7,51,1,0
39,37.2,1,-1
44.5,38.2,1,0
40.2,36.5,1,0
33.6,27.7,-1,-1
39.4,35.7,1,0
40.1,29.9,1,0
39.3,32,1,0
46.2,38.2,1,-1
52.8,53.2,1,1
48.8,46.6,1,1
40.6,36.8,1,-1
42.1,37.3,1,-1
37.1,31.7,-1,-1
42.2,40,1,-1
22.1,18.7,-1,-1
29.3,26.8,-1,-1
33.4,30.5,-1,-1
44.8,39,1,0
45.8,32.6,1,0
39.4,40.8,1,0
24.1,22,-1,-1
31.5,26,-1,0
48.8,41.1,1,0
24.9,19.3,-1,-1
31.7,35.4,-1,0
35,29,1,-1
29.7,29.4,-1,-1
44,35,1,-1
37,31.1,-1,-1
43.1,34.5,1,0
30.9,30.5,-1,-1
29.8,29.9,-1,-1
34.9,33,-1,-1
37.5,34.3,-1,-1
49.4,44.6,1,1
42.3,39.6,1,-1
39.5,30.4,1,0
31.5,23.9,-1,0
33,27.2,-1,-1
34,29.3,-1,-1
46.9,40.9,1,1
37.3,37.5,-1,-1
39.9,36.4,1,-1
48.5,43.7,1,1
30.5,23.8,-1,-1
43.1,38.2,1,-1
41.2,36.1,1,0
34,33.2,-1,-1
20.2,20.1,-1,-1
44.9,41.2,1,-1
44.7,36.8,1,-1
36.8,38.3,-1,-1
41.1,37.4,1,-1
29.4,25.2,-1,-1
24.3,22.1,-1,-1
42.3,38,1,-1
56,53.2,1,1
40.9,38.2,1,0
36.7,36.5,1,-1
33.8,31.8,-1,0
45.8,43.7,1,1
27.4,27.2,-1,-1
39.1,31.1,1,-1
41.9,34.3,1,0
49.1,45.6,1,1
40.4,33.1,1,-1
33.1,32.2,-1,-1
24.4,19.7,-1,-1
27.2,24.4,-1,0
20.9,16,-1,-1
37.5,32.9,1,-1
41.6,37.1,1,-1
31.8,32.1,-1,-1
29.4,28.2,-1,0
26.3,18.4,-1,-1
51.7,48.2,1,1
35.6,31.9,-1,0
25.2,24.9,-1,-1
41.5,37.4,1,-1
53.9,48,1,1
34.4,25,-1,-1
33,26.1,-1,-1
44.6,38,1,0
40.2,32,1,-1
44.6,36,1,0
34.1,30.8,1,-1
40.8,43.7,1,1
40.6,33.2,1,0
24.8,18.7,-1,-1
32.9,25.9,-1,0
41.5,39,1,0
54.1,49.8,1,0
38.9,31.8,1,-1
40.4,42.1,1,1
44.3,37.8,1,-1
38.5,33.1,1,0
52,42.4,1,1
43.2,33.8,1,0
43.5,38,1,-1
46.9,45.3,1,1
41.8,34.6,1,-1
42.8,41,1,1
32.6,25.7,-1,0
23.5,14.4,-1,0
39.2,34.3,1,0
48.6,39,1,1
34.3,26.1,-1,-1
45.5,36.4,1,0
45.1,37.9,1,-1
45.5,38.4,1,-1
53.2,52,1,0
41.8,37.2,1,-1
36.3,26.8,-1,-1
33,25.9,-1,-1
43.9,39,1,-1
45.2,35.5,1,-1
32.9,26,-1,0
41.4,35.4,1,0
25.3,24.9,-1,-1
25.9,20.8,-1,0
38.9,34.1,1,-1
23.8,20,-1,-1
28.4,23.9,-1,-1
42.7,40,1,-1
28.7,30.4,-1,0
40.8,39,1,-1
54,52.5,1,1
45.8,37.1,1,-1
36.3,32.5,-1,-1
47.7,41.9,1,1
36.8,32.6,1,0
38.5,30.2,-1,-1
34.4,37.3,-1,-1
35.6,31.5,-1,-1
31.4,29.9,-1,-1
34.3,28,-1,-1
35.4,27.4,-1,0
24.8,22.8,-1,-1
30.2,23.3,-1,-1
35.8,33,1,0
42.6,40.1,1,-1
40.2,33.4,1,-1
38.5,30.2,1,0
57,49.6,1,1
28.9,22.8,-1,-1
36.2,34,-1,-1
24.7,20.8,-1,0
39.5,33.2,-1,0
42.5,39.9,1,0
34.3,29.7,-1,0
28.6,22.3,-1,-1
40.7,37.5,1,-1
39.5,35.1,1,-1
33.9,30.1,-1,-1
25.6,22.3,-1,-1
