v_(t),v_(t-1),P(t),I(t)
52,59.3,1,0
44,38.6,1,1
22.1,24.7,-1,0
40.5,36.3,-1,-1
30.7,33.9,-1,-1
31.2,33,-1,0
52.4,47.3,1,1
42.6,38.9,1,1
47.3,50.5,1,1
38.3,37.6,-1,-1
30.8,32.6,-1,-1
35.7,33.6,-1,-1
29,31.1,-1,-1
27.3,26.1,-1,0
33.8,35.8,-1,-1
32.8,36.5,-1,-1
40.6,38.3,1,-1
26.3,29.1,-1,0
33.5,31.5,-1,-1
42.9,37.2,-1,1
53,44.9,1,1
40.7,38,1,1
53.8,43.7,1,1
45.2,39,1,1
49.8,44.5,1,1
41.9,40.2,1,1
34.6,33.6,-1,-1
43.6,39.4,1,1
44.2,40.1,1,0
44.3,39.3,1,1
50.2,46.2,1,1
47.9,52.8,1,1
48.6,48.8,1,1
43.1,40.6,-1,1
46.6,42.1,1,1
35.8,37.1,-1,-1
42.8,42.2,1,0
23.1,22.1,-1,0
31,29.3,-1,-1
35,33.4,-1,-1
47,44.8,1,1
45,45.8,1,1
43,39.4,1,1
22.7,24.1,-1,0
35.2,31.5,-1,-1
49,48.8,1,1
23.7,24.9,-1,-1
36.7,31.7,1,-1
39.1,35,-1,1
25.3,29.7,-1,-1
43.3,44,1,1
30.8,37,-1,-1
43.8,43.1,1,0
29.7,30.9,-1,-1
24.1,29.8,-1,0
34.3,34.9,-1,0
36.4,37.5,-1,-1
49.4,49.4,1,1
41.4,42.3,-1,1
42.7,39.5,1,0
27.4,31.5,-1,-1
33.1,33,-1,-1
29.1,34,-1,0
46.8,46.9,1,1
36.1,37.3,-1,-1
45.3,39.9,1,1
46.8,48.5,1,1
26.3,30.5,-1,0
42.9,43.1,1,1
43.2,41.2,1,1
39,34,-1,0
17.8,20.2,-1,-1
48.9,44.9,1,1
50.3,44.7,1,1
42.2,36.8,-1,-1
44.5,41.1,1,1
24.7,29.4,-1,-1
22.9,24.3,-1,-1
49,42.3,1,1
59.3,56,1,0
45,40.9,1,1
39.9,36.7,-1,0
31.9,33.8,-1,-1
42.7,45.8,-1,1
25.9,27.4,-1,-1
44.8,39.1,1,1
44.3,41.9,1,1
51.8,49.1,1,1
48.3,40.4,1,1
32.9,33.1,-1,-1
23,24.4,-1,-1
25.6,27.2,-1,-1
22.6,20.9,-1,-1
42.6,37.5,1,1
49.5,41.6,1,1
29.9,31.8,-1,-1
30.7,29.4,-1,-1
28.2,26.3,-1,-1
54.7,51.7,1,1
37.1,35.6,-1,-1
23.2,25.2,-1,-1
45.5,41.5,1,1
57,53.9,1,0
36.9,34.4,-1,-1
36.7,33,-1,-1
50.3,44.6,1,1
42.3,40.2,1,0
49.5,44.6,1,1
42.4,34.1,1,1
41.6,40.8,1,0
43.7,40.6,1,1
21,24.8,-1,-1
31.7,32.9,-1,-1
45.5,41.5,1,1
52.8,54.1,1,1
47.2,38.9,1,1
39.7,40.4,1,1
47,44.3,1,1
46.4,38.5,1,1
53.8,52,1,1
47.7,43.2,1,1
47.1,43.5,1,1
46.4,46.9,1,1
46.6,41.8,1,1
43.2,42.8,1,1
33.2,32.6,-1,-1
29.5,23.5,-1,-1
45,39.2,1,1
50,48.6,1,1
33.3,34.3,-1,-1
49.4,45.5,1,1
48.7,45.1,1,1
46.4,45.5,1,0
59.4,53.2,1,1
46.2,41.8,1,1
41.7,36.3,1,0
32.5,33,-1,-1
48.4,43.9,1,1
51.1,45.2,1,1
28.7,32.9,-1,-1
44.5,41.4,1,1
24.5,25.3,-1,-1
28,25.9,-1,-1
46.8,38.9,1,1
27.4,23.8,-1,0
32.7,28.4,-1,-1
46,42.7,1,1
27.8,28.7,-1,-1
45.7,40.8,1,1
54.6,54,1,1
50,45.8,1,1
39.6,36.3,1,-1
49.7,47.7,1,1
33.7,36.8,1,1
41.9,38.5,-1,-1
32.8,34.4,-1,-1
34.2,35.6,-1,-1
22.7,31.4,-1,-1
33.8,34.3,-1,-1
32.8,35.4,-1,-1
19.3,24.8,-1,-1
28.2,30.2,-1,-1
43.7,35.8,1,1
47.9,42.6,1,1
42.3,40.2,1,1
43.2,38.5,1,1
50.4,57,1,1
24.9,28.9,-1,-1
32.4,36.2,-1,-1
20.7,24.7,-1,-1
37.2,39.5,-1,-1
44.2,42.5,-1,1
29.9,34.3,-1,-1
22.3,28.6,-1,-1
41.2,40.7,-1,1
45.3,39.5,1,1
30.1,33.9,-1,0
25.7,25.6,-1,0
