v_(t),v_(t-1),P(t),I(t)
65.4,52,1,1
56.5,44,1,1
32,22.1,-1,-1
47,40.5,-1,-1
43.3,30.7,-1,-1
38.8,31.2,-1,0
41.5,52.4,-1,1
45.2,42.6,-1,1
55.6,47.3,1,1
39.5,38.3,-1,0
38.4,30.8,-1,-1
42.7,35.7,-1,-1
31.9,29,-1,-1
26.9,27.3,-1,-1
43.1,33.8,-1,-1
42.2,32.8,-1,-1
47.9,40.6,1,1
38.2,26.3,-1,-1
32.7,33.5,-1,-1
37.6,42.9,-1,-1
60.4,53,1,1
38.3,40.7,-1,1
62,53.8,1,1
46.8,45.2,1,1
58,49.8,1,1
44.5,41.9,-1,1
41.6,34.6,-1,-1
46.1,43.6,1,1
55,44.2,1,1
49.9,44.3,1,1
57,50.2,1,1
49.1,47.9,1,1
46.3,48.6,1,1
40.5,43.1,-1,-1
57.1,46.6,1,1
49.1,35.8,1,0
49.2,42.8,1,1
29.9,23.1,-1,-1
36.7,31,-1,-1
38.1,35,-1,-1
50.6,47,1,1
47,45,-1,1
42.4,43,-1,1
19.9,22.7,-1,-1
43.3,35.2,-1,-1
57.6,49,1,1
28,23.7,-1,-1
44.4,36.7,-1,1
45.1,39.1,-1,-1
41.7,25.3,-1,-1
52.4,43.3,1,1
46.4,30.8,-1,-1
56.4,43.8,1,1
28.5,29.7,-1,-1
23.1,24.1,-1,-1
36.8,34.3,-1,-1
40.8,36.4,-1,-1
42.7,49.4,-1,1
36.9,41.4,-1,-1
52.1,42.7,1,1
35,27.4,-1,-1
32.9,33.1,-1,-1
31.8,29.1,-1,-1
54.3,46.8,1,1
42.8,36.1,-1,-1
50.3,45.3,1,1
55.6,46.8,1,1
42.2,26.3,-1,-1
54.1,42.9,1,1
51.9,43.2,1,1
41.6,39,-1,-1
21.8,17.8,-1,-1
54,48.9,1,1
49.4,50.3,1,1
34.4,42.2,-1,-1
46.9,44.5,1,1
28.6,24.7,-1,-1
33.9,22.9,-1,-1
48,49,1,1
61.1,59.3,1,1
45.4,45,-1,1
31.6,39.9,-1,-1
40.5,31.9,-1,-1
39.6,42.7,-1,-1
20.9,25.9,-1,-1
45.7,44.8,-1,1
46.1,44.3,-1,1
57.9,51.8,1,1
54.9,48.3,1,1
31,32.9,-1,-1
24.2,23,-1,-1
31.4,25.6,-1,-1
35.8,22.6,-1,0
44.7,42.6,-1,1
49.9,49.5,1,1
33,29.9,-1,-1
32.3,30.7,-1,-1
46.6,28.2,1,-1
62,54.7,1,1
49.6,37.1,1,0
24.2,23.2,-1,-1
47.7,45.5,1,1
62.7,57,1,1
48.1,36.9,-1,-1
49.2,36.7,1,-1
53.6,50.3,1,1
56.9,42.3,1,1
58.2,49.5,1,1
47.2,42.4,1,1
46.9,41.6,1,0
47.7,43.7,1,1
31.1,21,-1,0
30.9,31.7,-1,0
51.6,45.5,1,1
61.5,52.8,1,1
49,47.2,1,1
46.8,39.7,-1,1
54.8,47,1,1
47.4,46.4,1,1
44.1,53.8,1,1
48.9,47.7,1,1
52.3,47.1,1,0
48.7,46.4,1,1
50.8,46.6,1,1
48.4,43.2,1,1
43.5,33.2,-1,-1
38.8,29.5,-1,-1
51.5,45,1,1
51.3,50,1,1
31.6,33.3,-1,0
58.7,49.4,1,1
56.1,48.7,1,1
52.8,46.4,1,1
69.8,59.4,1,1
48.4,46.2,1,1
46.5,41.7,1,1
34.1,32.5,-1,-1
54.7,48.4,1,1
58.1,51.1,1,1
38.1,28.7,-1,-1
50.3,44.5,1,1
28.4,24.5,-1,-1
36.5,28,-1,-1
46.8,46.8,-1,1
45.3,27.4,-1,-1
49.1,32.7,1,-1
54.5,46,1,1
27.5,27.8,-1,-1
45.9,45.7,-1,1
61,54.6,1,1
61,50,1,1
48.7,39.6,1,1
55.4,49.7,1,1
39.5,33.7,1,1
33.1,41.9,-1,0
36.5,32.8,-1,-1
45,34.2,-1,-1
23.2,22.7,-1,-1
49.6,33.8,1,-1
37.2,32.8,-1,-1
26.2,19.3,-1,-1
36.6,28.2,-1,-1
44.3,43.7,-1,1
44.4,47.9,-1,1
54.4,42.3,1,1
43.7,43.2,-1,1
51,50.4,1,1
38.2,24.9,-1,-1
37.4,32.4,-1,-1
28.5,20.7,-1,-1
38.8,37.2,-1,-1
42.1,44.2,-1,-1
40.3,29.9,-1,-1
34.8,22.3,-1,-1
44.2,41.2,-1,0
48.1,45.3,1,1
41.7,30.1,-1,-1
29.6,25.7,-1,-1
