ons_const_id,ons_region_id,constituency_name,Lab_Margin,intermediate_step,Incumbency_Status,county,region,country,constituency_type,seat_change_1719,winner_19,electorate_19,total_vote_19,rejected_vote_19,majority_19,con_vote_19,lab_vote_19,ld_vote_19,brexit_vote_19,green_vote_19,snp_vote_19,pc_vote_19,dup_vote_19,sf_vote_19,sdlp_vote_19,uup_vote_19,alliance_vote_19,other_vote_19,speaker_vote_19,turnout_19,con_19,lab_19,ld_19,brexit_19,green_19,snp_19,pc_19,dup_19,sf_19,sdlp_19,uup_19,alliance_19,other_19,speaker_19,pano,winner_17,con_17,lab_17,ld_17,snp_17,pc_17,ukip_17,green_17,other_17,majority_17,turnout_17,con_vote_17,lab_vote_17,ld_vote_17,snp_vote_17,pc_vote_17,ukip_vote_17,green_vote_17,total_vote_17,rejected_vote_17,electorate_17,leave_hanretty,remain_hanretty,majority_vote_17,alliance_vote_17,dup_vote_17,sdlp_vote_17,sf_vote_17,uup_vote_17,other_vote_17,alliance_17,dup_17,sf_17,sdlp_17,uup_17,con_1719,lab_1719,ld_1719,green_1719,snp_1719,pc_1719,uup_1719,dup_1719,alliance_1719,sf_1719,sdlp_1719,green_ppc_19,ld_ppc_19,lab_ppc_19,ukip_ppc_19,pc_ppc_19,con_ppc_19,speaker_ppc_19,sdlp_ppc_19,snp_ppc_19,dup_ppc_19,brexit_ppc_19,alliance_ppc_19,uup_ppc_19,green_ppc_sex_19,ld_ppc_sex_19,lab_ppc_sex_19,ukip_ppc_sex_19,pc_ppc_sex_19,con_ppc_sex_19,speaker_ppc_sex_19,sdlp_ppc_sex_19,snp_ppc_sex_19,dup_ppc_sex_19,brexit_ppc_sex_19,alliance_ppc_sex_19,uup_ppc_sex_19
E14000918,E12000008,Sevenoaks,-42.7915967,0,0,Kent,South East,England,County,NA,Conservative,71757,50956,244,20818,30932,6946,10114,NA,1974,NA,NA,NA,NA,NA,NA,NA,990,NA,71.35192385,60.70335191,13.63136824,19.84849674,NA,3.87393045,NA,NA,NA,NA,NA,NA,NA,1.942852657,NA,502,Conservative,63.73540552,20.94380882,8.35643719,NA,NA,3.6979187,3.266429771,1.42109E-14,42.7915967,71.56850416,32644,10727,4280,NA,NA,1894,1673,51218,146,71565,54.0405142,45.9594858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.03205361,-7.312440578,11.49205955,0.607500679,NA,NA,NA,NA,NA,NA,NA,Paul Wharton,Gareth James Willis,Seamus McCauley,NA,NA,Laura Trott,NA,NA,NA,NA,NA,NA,NA,Male,Male,Male,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA
E14000921,E12000003,"Sheffield, Brightside and Hillsborough",45.72008598,1,1,South Yorkshire,Yorkshire and The Humber,England,Borough,NA,Labour,69333,39600,122,12274,10095,22369,1517,3855,1179,NA,NA,NA,NA,NA,NA,NA,585,NA,57.29162159,25.49242424,56.48737374,3.830808081,9.734848485,2.977272727,NA,NA,NA,NA,NA,NA,NA,1.477272727,NA,503,Labour,21.61452114,67.33460712,2.534033914,NA,NA,6.3171722,1.760210174,0.439455457,45.72008598,59.52177869,9050,28193,1061,NA,NA,2645,737,41870,70,70344,59.97367924,40.02632076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.877903106,-10.84723338,1.296774166,1.217062553,NA,NA,NA,NA,NA,NA,NA,Christine Gilligan Kubo,Stephen Porter,Gill Furniss,Shane Harper,NA,Hannah Juliette Westropp,NA,NA,NA,NA,Johnny Johnson,NA,NA,Female,Male,Female,Male,NA,Female,NA,NA,NA,NA,Male,NA,NA
E14000919,E12000003,Sheffield Central,57.95684776,1,1,South Yorkshire,Yorkshire and The Humber,England,Borough,NA,Labour,89849,50913,233,27273,6695,33968,3237,1969,4570,NA,NA,NA,NA,NA,NA,NA,474,NA,56.92439537,13.14988313,66.71773417,6.357904661,3.867381612,8.976096478,NA,NA,NA,NA,NA,NA,NA,0.930999941,NA,504,Labour,12.98118094,70.9380287,5.14860998,NA,NA,2.214006726,8.037262151,0.680911502,57.95684776,61.72898401,6215,33963,2465,NA,NA,1060,3848,47877,137,77560,31.91197257,68.08802743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168702191,-4.220294525,1.209294681,0.938834327,NA,NA,NA,NA,NA,NA,NA,Alison Clare Teal,Colin Ross,Paul Blomfield,NA,NA,Janice Silvester-Hall,NA,NA,NA,NA,Paul John Ward,NA,NA,Female,Male,Male,NA,NA,Female,NA,NA,NA,NA,Male,NA,NA
E14000922,E12000003,"Sheffield, Hallam",3.726762539,0,0,South Yorkshire,Yorkshire and The Humber,England,County,NA,Labour,72763,56885,150,712,14696,19709,18997,1562,1630,NA,NA,NA,NA,NA,NA,NA,291,NA,78.38461856,25.83457854,34.64709502,33.39544695,2.745890832,2.865430254,NA,NA,NA,NA,NA,NA,NA,0.511558407,NA,505,Labour,23.7828832,38.37425465,34.64749211,NA,NA,1.629252894,1.443353209,0.122763942,3.726762539,77.62575727,13561,21881,19756,NA,NA,929,823,57020,89,73455,34.00606514,65.99393486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.051695337,-3.727159631,-1.252045154,1.422077045,NA,NA,NA,NA,NA,NA,NA,Natalie Thomas,Laura Gordon,Olivia Blake,Michael Joseph Virgo,NA,Ian Walker,NA,NA,NA,NA,Terry McHale,NA,NA,Female,Female,Female,Male,NA,Male,NA,NA,NA,NA,Male,NA,NA
E14000923,E12000003,"Sheffield, Heeley",31.26667571,1,1,South Yorkshire,Yorkshire and The Humber,England,Borough,NA,Labour,66940,42695,132,8520,12955,21475,2916,3538,1811,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.97818942,30.34313151,50.29862982,6.82983956,8.286684623,4.241714486,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,Labour,28.70709537,59.97377108,4.571971239,NA,NA,4.470221137,2.13222991,0.144711256,31.26667571,65,12696,26524,2022,NA,NA,1977,943,44226,79,68040,57.16131009,42.83868991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63603614,-9.675141269,2.257868321,2.109484576,NA,NA,NA,NA,NA,NA,NA,Paul Turpin,Simon William Clement-Jones,Louise Haigh,NA,NA,Gordon C Gregory,NA,NA,NA,NA,Tracy Knowles,NA,NA,Male,Male,Female,NA,NA,Male,NA,NA,NA,NA,Female,NA,NA
E14000920,E12000003,Sheffield South East,27.06211579,1,1,South Yorkshire,Yorkshire and The Humber,England,Borough,NA,Labour,67832,41998,146,4289,15070,19359,2125,4478,NA,NA,NA,NA,NA,NA,NA,NA,966,NA,62.12996816,35.88266108,46.09505215,5.059764751,10.6624125,NA,NA,NA,NA,NA,NA,NA,NA,2.300109529,NA,507,Labour,31.47536471,58.5374805,3.284705019,NA,NA,6.468483347,0,0.233966419,27.06211579,63.23301182,13722,25520,1432,NA,NA,2820,NA,43596,90,68945,66.31781806,33.68218194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.407296367,-12.44242836,1.775059732,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rajin Chowdhury,Clive Betts,NA,NA,Marc Bayliss,NA,NA,NA,NA,Kirk Lewis Kus,NA,NA,NA,Male,Male,NA,NA,Male,NA,NA,NA,NA,Male,NA,NA
E14000924,E12000004,Sherwood,-9.740649127,1,-1,Nottinghamshire,East Midlands,England,County,NA,Conservative,77888,52709,183,16186,32049,15863,2883,NA,1214,NA,NA,NA,NA,NA,NA,NA,700,NA,67.907765,60.80365782,30.09542962,5.469654139,NA,2.303211975,NA,NA,NA,NA,NA,NA,NA,1.328046444,NA,508,Conservative,51.51787722,41.77722809,2.085675736,NA,NA,3.374934413,1.244284536,1.42109E-14,9.740649127,70.03517245,27492,22294,1113,NA,NA,1801,664,53364,98,76196,63.65773924,36.34226076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.285780599,-11.68179847,3.383978402,1.058927439,NA,NA,NA,NA,NA,NA,NA,Esther Cropper,Tim Ball,Jerry Hague,NA,NA,Mark Spencer,NA,NA,NA,NA,NA,NA,NA,Female,Male,Male,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
E14000925,E12000003,Shipley,-8.766738459,1,-1,West Yorkshire,Yorkshire and The Humber,England,County,NA,Conservative,74029,54004,258,6242,27437,21195,3188,NA,1301,NA,NA,NA,NA,NA,NA,NA,883,NA,73.29830202,50.80549589,39.24709281,5.903266425,NA,2.409080809,NA,NA,NA,NA,NA,NA,NA,1.635064069,NA,509,Conservative,51.34750445,42.58076599,4.123981646,NA,NA,0,0,1.947747916,8.766738459,73.01081591,27417,22736,2202,NA,NA,NA,NA,53395,138,73133,52.21134452,47.78865548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.542008559,-3.333673181,1.779284778,NA,NA,NA,NA,NA,NA,NA,NA,Celia Hickson,Caroline Jones,Jo Pike,NA,NA,Philip Davies,NA,NA,NA,NA,NA,NA,NA,Female,Female,Female,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
E14000926,E12000005,Shrewsbury and Atcham,-11.38601103,1,-1,Shropshire,West Midlands,England,County,NA,Conservative,82238,59065,217,11217,31021,19804,5906,NA,1762,NA,NA,NA,NA,NA,NA,NA,572,NA,72.08589703,52.52010497,33.52916279,9.999153475,NA,2.983154152,NA,NA,NA,NA,NA,NA,NA,0.968424617,NA,510,Conservative,49.95103345,38.56502242,7.308901603,NA,NA,2.341803687,1.833238836,NA,11.38601103,73.63460395,29073,22446,4254,NA,NA,1363,1067,58203,109,79043,52.92057793,47.07942207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.569071517,-5.035859635,2.690251872,1.149915316,NA,NA,NA,NA,NA,NA,NA,Julian Dean,Nat Green,Julia Buckley,NA,NA,Daniel Kawczynski,NA,NA,NA,NA,NA,NA,NA,Male,Male,Female,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
E14000927,E12000008,Sittingbourne and Sheppey,-29.59971978,1,-1,Kent,South East,England,County,NA,Conservative,83917,51394,103,24479,34742,10263,3213,NA,1188,NA,NA,NA,NA,NA,NA,NA,1988,NA,61.36658841,67.59933066,19.96925711,6.251702533,NA,2.311553878,NA,NA,NA,NA,NA,NA,NA,3.868155816,NA,512,Conservative,60.15100508,30.55128529,2.7087509,NA,NA,0,1.08583549,5.503123236,29.59971978,62.88654747,30911,15700,1392,NA,NA,NA,558,51389,77,81717,65.36448876,34.63551124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.448325582,-10.58202818,3.542951633,1.225718388,NA,NA,NA,NA,NA,NA,NA,Samantha Collins,Ben Jonathan Martin,Clive Johnson,NA,NA,Gordon Henderson,NA,NA,NA,NA,NA,NA,NA,Female,Male,Male,NA,NA,Male,NA,NA,NA,NA,NA,NA,NA
